Swede Heaven,48.2829,-121.7136,1840037821
Pine Grove,48.6502,-118.6834,1840043279
Langley,48.0337,-122.4084,1840019780
Sedro-Woolley,48.5113,-122.2321,1840021066
Hatton,46.7735,-118.8277,1840021133
Entiat,47.678,-120.2175,1840019777
Bainbridge Island,47.6439,-122.5434,1840018409
Auburn,47.3041,-122.211,1840018416
Ocean City,47.0763,-124.162,1840018444
White Swan,46.3769,-120.7382,1840018464
Felida,45.7138,-122.7103,1840037495
Lacey,47.0458,-122.7934,1840019866
Gold Bar,47.8566,-121.6927,1840019786
Clyde Hill,47.6303,-122.218,1840018413
Upper Elochoman,46.2403,-123.3247,1840042136
Marcus,48.6642,-118.0601,1840022273
Canyon Creek,48.1157,-121.9831,1840074181
Malone,46.9779,-123.3035,1840026097
Bothell East,47.8064,-122.1844,1840041892
Yarrow Point,47.6452,-122.2179,1840022300
Steptoe,47.0075,-117.3502,1840025258
West Richland,46.3115,-119.3997,1840021168
Orient,48.8637,-118.2059,1840025243
Federal Way,47.309,-122.3359,1840019826
Pe Ell,46.5712,-123.2982,1840022321
Deep River,46.3521,-123.6984,1840023929
Bothell,47.7736,-122.2044,1840018419
South Wenatchee,47.3886,-120.2829,1840037106
Snoqualmie Pass,47.4014,-121.4109,1840037862
Hartline,47.6895,-119.1081,1840021105
Lake Forest Park,47.7597,-122.2878,1840019837
Crocker,47.0843,-122.1225,1840041924
Elbe,46.7653,-122.1946,1840017364
Ravensdale,47.3563,-121.9692,1840018412
Arlington,48.1697,-122.1446,1840018378
McChord AFB,47.1328,-122.4924,1840073929
Lebam,46.5641,-123.5509,1840017376
Lynden,48.9503,-122.4544,1840019752
Coupeville,48.2172,-122.6775,1840021075
Prescott,46.2988,-118.3126,1840021175
South Bend,46.668,-123.8008,1840021161
Mabton,46.2115,-119.9938,1840019873
North Bend,47.4898,-121.7738,1840019833
Grapeview,47.3316,-122.8413,1840037554
Garfield,47.0103,-117.1395,1840021141
Rochester,46.8288,-123.0722,1840018459
Dayton,46.3168,-117.9769,1840018486
Algona,47.2822,-122.2504,1840018415
Mineral,46.7193,-122.1859,1840025263
Barstow,48.7783,-118.1329,1840026089
Moclips,47.2348,-124.2025,1840018442
Bellingham,48.7543,-122.4687,1840018346
Vader,46.4045,-122.9569,1840021163
North Lynnwood,47.8533,-122.2762,1840037895
Tracyton,47.6095,-122.6533,1840018408
White Salmon,45.7282,-121.4853,1840021191
Peaceful Valley,48.9477,-122.1406,1840037896
East Renton Highlands,47.4718,-122.0854,1840037866
Metaline,48.854,-117.3899,1840022276
Deming,48.8381,-122.2313,1840018345
Medical Lake,47.5712,-117.6893,1840019804
Aberdeen,46.9757,-123.8095,1840018446
Chehalis,46.6637,-122.9647,1840018472
Onalaska,46.5783,-122.7112,1840025264
Toledo,46.4414,-122.8496,1840021162
Everson,48.9123,-122.351,1840019750
Belfair,47.4495,-122.8487,1840025252
Lynnwood,47.8285,-122.3035,1840019788
Colton,46.5675,-117.1285,1840022315
Malden,47.2296,-117.4731,1840022313
Ames Lake,47.6346,-121.9664,1840037846
Wilson Creek,47.423,-119.1176,1840022294
North Yelm,46.9647,-122.6029,1840037880
Mirrormont,47.4616,-121.9936,1840037876
Whidbey Island Station,48.3387,-122.6616,1840073897
Town and Country,47.7259,-117.4221,1840037888
Tokeland,46.709,-123.9839,1840018469
Snoqualmie,47.5293,-121.8412,1840021119
Bremerton,47.5436,-122.7121,1840018410
East Cathlamet,46.1968,-123.358,1840037849
Fort Lewis,47.0955,-122.5672,1840073933
Salmon Creek,45.7099,-122.6632,1840018520
Skykomish,47.7103,-121.3586,1840022299
Tacoma,47.2431,-122.4531,1840021129
Monroe,47.8596,-121.9853,1840019791
Loomis,48.8235,-119.6398,1840025235
Pomeroy,46.4737,-117.5967,1840019891
Brush Prairie,45.725,-122.5483,1840017398
Silver Firs,47.8635,-122.1497,1840037898
Nespelem,48.167,-118.9722,1840022268
Meadowdale,47.8583,-122.3156,1840023774
Shadow Lake,47.4017,-122.0764,1840042051
LaCrosse,46.8021,-117.9013,1840037498
Concrete,48.5371,-121.7512,1840022283
Sumas,48.9956,-122.2695,1840021045
Ruston,47.2982,-122.51,1840021132
La Center,45.8589,-122.6764,1840019910
Marrowstone,48.0568,-122.6933,1840037856
Chelan Falls,47.7995,-119.9882,1840025245
Lake Cavanaugh,48.3225,-122.0122,1840037851
Duluth,45.7838,-122.647,1840140854
Sequim,48.0747,-123.0944,1840021076
Benton City,46.2624,-119.4814,1840018480
Moses Lake,47.1284,-119.2741,1840019817
Fircrest,47.2308,-122.5157,1840019854
Othello,46.8222,-119.1651,1840019862
Mercer Island,47.5625,-122.2265,1840019830
Enumclaw,47.2017,-121.9897,1840019825
Chico,47.6234,-122.7198,1840037630
Enetai,47.5885,-122.6058,1840023794
Hunts Point,47.642,-122.229,1840021122
Clinton,47.9731,-122.3577,1840037632
Hat Island,48.013,-122.3201,1840041926
Marietta-Alderwood,48.7932,-122.5566,1840073928
Waitsburg,46.2696,-118.151,1840021173
Sunnyslope,47.4913,-120.3493,1840136960
South Cle Elum,47.1862,-120.9525,1840022304
Selah,46.6482,-120.5389,1840021149
Lind,46.9704,-118.6165,1840021134
